S.no,text
1,What a great day!!! Looks like dream.
2,"I feel sorry, I miss you here in the sea beach"
3,Don't angry me
4,We attend in the class just for listening teachers reading on slide. Just Nonsence  
5,"Those who want to go, let them go"
6,"Its night 2 am, feeling neutral"
7,2 am feedings for the baby are fun when he is all smiles and coos
8,Soooo high
9, Both of you
10,Today first time I arrive in the boat. Its amazing journey
11,Love is something like E=MC^2 rules
12,I really really like the song Cardigan by Taylor Swift
13,My Sharpie is running DANGERously low on ink
14,i want to go to music tonight but i lost my voice.
15,Always somewhere I miss you where I have been
16,Don't distrube me
17,"I don't care, who are you and what can you do"
18,i`ve been sick for the past few days 
19,"I'm come back home, my past job, its really good time for me"
20,I will never fall in love until I found you
21," oh Maya, I`m so sorry!!  I hope you find her soon!! "
22,"Playing with kids, its amazing"
23,is cleaning the house for her family who is comming later today..
24,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
25,"Follow me, I will follow you too"
26,"Its amazing game, I playing everyday"
27,  I`m sorry.
28,"I'm in the village now and there hardly found internate, feeling gloomy"
29,juss came back from Barisal
30,Went to sleep and there is a power cut in the village. 
31,How looks like our company new logo?
32,"I buy Sophie's world book, I'm really so happy"
33, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
34, That`s very funny.  Cute kids.
35," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
36,My semester final exam is complete. Hurray!!!
37,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
38,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
39,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
40, romance zero is funny
41," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
42,Yor are so unromantic
43,MAYDAY?!
44, I`d rather do the early run..but I am a morning runner
45, I love to! But I`m only available from 5pm.  and where dear?
46,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
47, i talk to you
48,"im soo bored, I don't like this music video"
49,this concert is amazing
50,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
51,"Its raining, I need an umbrella "
52,should be sleeping.  lost my voice a couple day ago.
53,"I'm depressed, I'm thinking about suicide, what I need to do now?"
54, I`ve heard this fall. I`m waiting too!
55,I saw an amazing nightmare yesterday night
56,I AM SUCH A CREEPER  I feel disappointed because of it.
57,"I have bad headech, what I need to do now"
58,happy mother`s day to all moms out there. Mothers are our real hero
59,Grabbing coffee from  then making mom breakfast
60,im thinking that im going to have fun tonight
61,Yesterday was most valuable day for me
62," Haha I know, I cant handle the fame!  and thank you!"
63,"One suggestion for me is, be up to date"
64,"Always love everyone, love all animals. Most important love your parents"
65,I'm playing minecraft video game. I'm addicated to it.
66,See you in the cloud
67,What a great day!!! Looks like dream.
68,"I feel sorry, I miss you here in the sea beach"
69,Don't angry me
70,We attend in the class just for listening teachers reading on slide. Just Nonsence  
71,"Those who want to go, let them go"
72,"Its night 2 am, feeling neutral"
73,2 am feedings for the baby are fun when he is all smiles and coos
74,Soooo high
75, Both of you
76,Today first time I arrive in the boat. Its amazing journey
77,Love is something like E=MC^2 rules
78,I really really like the song Cardigan by Taylor Swift
79,My Sharpie is running DANGERously low on ink
80,i want to go to music tonight but i lost my voice.
81,Always somewhere I miss you where I have been
82,Don't distrube me
83,"I don't care, who are you and what can you do"
84,i`ve been sick for the past few days 
85,"I'm come back home, my past job, its really good time for me"
86,I will never fall in love until I found you
87," oh Maya, I`m so sorry!!  I hope you find her soon!! "
88,"Playing with kids, its amazing"
89,is cleaning the house for her family who is comming later today..
90,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
91,"Follow me, I will follow you too"
92,"Its amazing game, I playing everyday"
93,  I`m sorry.
94,"I'm in the village now and there hardly found internate, feeling gloomy"
95,juss came back from Barisal
96,Went to sleep and there is a power cut in the village. 
97,How looks like our company new logo?
98,"I buy Sophie's world book, I'm really so happy"
99, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
100, That`s very funny.  Cute kids.
101," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
102,My semester final exam is complete. Hurray!!!
103,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
104,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
105,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
106, romance zero is funny
107," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
108,Yor are so unromantic
109,MAYDAY?!
110, I`d rather do the early run..but I am a morning runner
111, I love to! But I`m only available from 5pm.  and where dear?
112,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
113, i talk to you
114,Grabbing coffee from  then making mom breakfast
115,im thinking that im going to have fun tonight....and maybe some changes are coming
116, thanks. before the major chop.
117," Haha I know, I cant handle the fame!  and thank you!"
118,just got up and updated my ipod
119,"I still loving you, you are my love"
120,"Lets go, its time to play cricket match"
121,"Hey everyone, do you watch cricket match between eng vs aus yesterday"
122,Australia cricket team I love you
123, which means you`re just going to have to come back to vancouver and have it our way! hahah
124,Feeling smooth like chrome
125,feeling gloomy
126,Today we will go a concert
127,i need coffee too.
128, Sounds like me
129,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
130,Walking to class. I hate not having a bike....especially mine.
131,I'm start learning machine learning
132,failed inspection. 
133,Lets sing a song
134,happy father`s day to all the father in the world.
135,"Today, my semester final exam was really great"
136,Really great day
137,The exception for a short dude
138,Congratulation for your achievement
139,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. "
140, Yes i work 9 to 5 
141," Hmmm, maybe that`s what they meant. "
142,Done at the spa   now meeting vic for some late lunch!
143,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!
144, Always have wanted to go to university
145, Thanks
146,Really great football match
147,  that`s why I need to be there
148,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!
149, If only we could ever actually be allowed to stay here and do that
150, Let me know how that turns out!!
151, was that sass I detect?  As long as it isn`t back sass! Haha
152," yeah I was thinking about that ,ahaha"
153,Today is our EEE day
154,I`m not sleeping at all until  accepts my appology
155,I'm studying in psychology
156," I live for pain, bring it on"
157,"okay, i`m out for a while  back later!"
158,"We visited worlds longest sea beach, Its really amazing time for us"
159,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. 
160,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time
161,your attitude looks like autistics child
162,going to shower because i don`t want to smell at school tomorrow
