text,label
I absolutely love this product! It's amazing.,positive
This is the worst service I have ever received.,negative
"The movie was okay, but not great.",neutral
Fantastic experience! Highly recommend it.,positive
I'm extremely disappointed with the quality.,negative
"It's an average item, nothing too special.",neutral
"Great support team, very helpful!",positive
"Terrible app, crashes every time I use it.",negative
I had a pleasant shopping experience.,positive
"Would not recommend it to anyone, very frustrating.",negative
